('Total Revenue', '94,399,000', '85,965,000', '70,697,000', '55,838,000', '40,653,000')
         335648 function calls (327492 primitive calls) in 1.116 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    107/1    0.000    0.000    1.116    1.116 {built-in method builtins.exec}
        1    0.000    0.000    1.116    1.116 runpy.py:200(run_module)
        1    0.000    0.000    1.114    1.114 runpy.py:64(_run_code)
        1    0.001    0.001    1.114    1.114 financial-enhanced.py:3(<module>)
        1    0.000    0.000    0.977    0.977 financial-enhanced.py:75(main)
        1    0.000    0.000    0.598    0.598 request.py:139(urlopen)
        1    0.000    0.000    0.592    0.592 request.py:498(open)
        1    0.000    0.000    0.592    0.592 request.py:527(_open)
        2    0.000    0.000    0.592    0.296 request.py:487(_call_chain)
        1    0.000    0.000    0.592    0.592 request.py:1388(https_open)
        1    0.000    0.000    0.592    0.592 request.py:1305(do_open)
      649    0.001    0.000    0.580    0.001 socket.py:690(readinto)
      649    0.001    0.000    0.578    0.001 ssl.py:1230(recv_into)
      649    0.001    0.000    0.577    0.001 ssl.py:1090(read)
      649    0.577    0.001    0.577    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.311    0.311 client.py:1301(getresponse)
        1    0.000    0.000    0.311    0.311 client.py:300(begin)
      123    0.000    0.000    0.311    0.003 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.311    0.311 client.py:267(_read_status)
        1    0.000    0.000    0.273    0.273 client.py:444(read)
        1    0.000    0.000    0.273    0.273 client.py:564(_readall_chunked)
      366    0.002    0.000    0.271    0.001 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.271    0.271 client.py:1250(request)
        1    0.000    0.000    0.271    0.271 client.py:1255(_send_request)
        1    0.000    0.000    0.271    0.271 client.py:1237(endheaders)
        1    0.000    0.000    0.271    0.271 client.py:999(_send_output)
        1    0.000    0.000    0.271    0.271 client.py:940(send)
        1    0.000    0.000    0.271    0.271 client.py:1412(connect)
      206    0.000    0.000    0.270    0.001 client.py:602(_safe_read)
        1    0.000    0.000    0.225    0.225 client.py:917(connect)
        1    0.000    0.000    0.225    0.225 socket.py:806(create_connection)
        1    0.000    0.000    0.180    0.180 socket.py:936(getaddrinfo)
        1    0.179    0.179    0.180    0.180 {built-in method _socket.getaddrinfo}
        6    0.000    0.000    0.159    0.026 __init__.py:1(<module>)
    133/4    0.001    0.000    0.138    0.034 <frozen importlib._bootstrap>:1002(_find_and_load)
    133/4    0.000    0.000    0.138    0.034 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    128/5    0.001    0.000    0.137    0.027 <frozen importlib._bootstrap>:659(_load_unlocked)
    105/5    0.000    0.000    0.137    0.027 <frozen importlib._bootstrap_external>:849(exec_module)
    166/6    0.000    0.000    0.137    0.023 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    0.090    0.090 __init__.py:2(<module>)
        1    0.000    0.000    0.086    0.086 __init__.py:115(__init__)
        1    0.000    0.000    0.085    0.085 __init__.py:427(_feed)
        1    0.000    0.000    0.085    0.085 element.py:2(<module>)
        1    0.000    0.000    0.085    0.085 _htmlparser.py:369(feed)
        1    0.000    0.000    0.084    0.084 parser.py:103(feed)
        2    0.007    0.004    0.084    0.042 parser.py:133(goahead)
    15/11    0.000    0.000    0.075    0.007 {built-in method builtins.__import__}
    35/25    0.000    0.000    0.071    0.003 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      276    0.001    0.000    0.062    0.000 re.py:289(_compile)
      275    0.000    0.000    0.061    0.000 re.py:250(compile)
        1    0.000    0.000    0.061    0.061 css_parser.py:1(<module>)
      135    0.001    0.000    0.059    0.000 sre_compile.py:759(compile)
     1244    0.011    0.000    0.051    0.000 parser.py:300(parse_starttag)
        1    0.000    0.000    0.046    0.046 ssl.py:494(wrap_socket)
        1    0.000    0.000    0.046    0.046 ssl.py:983(_create)
        1    0.000    0.000    0.046    0.046 ssl.py:1302(do_handshake)
        1    0.046    0.046    0.046    0.046 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      308    0.003    0.000    0.045    0.000 {built-in method builtins.__build_class__}
        1    0.045    0.045    0.045    0.045 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.041    0.041 request.py:1(<module>)
      135    0.000    0.000    0.038    0.000 sre_parse.py:937(parse)
  861/136    0.003    0.000    0.037    0.000 sre_parse.py:435(_parse_sub)
 1289/140    0.012    0.000    0.037    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.034    0.034 css_parser.py:420(CSSParser)
       15    0.000    0.000    0.032    0.002 css_parser.py:297(__init__)
     1244    0.003    0.000    0.025    0.000 _htmlparser.py:119(handle_starttag)
        1    0.000    0.000    0.023    0.023 client.py:1(<module>)
     1244    0.003    0.000    0.021    0.000 __init__.py:678(handle_starttag)
        1    0.000    0.000    0.020    0.020 formatter.py:1(<module>)
      135    0.000    0.000    0.020    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.020    0.020 dammit.py:2(<module>)
      106    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:921(get_code)
        1    0.000    0.000    0.017    0.017 css_parser.py:317(__init__)
 1738/135    0.007    0.000    0.017    0.000 sre_compile.py:71(_compile)
     1168    0.003    0.000    0.015    0.000 parser.py:385(parse_endtag)
      128    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
       14    0.000    0.000    0.014    0.001 css_parser.py:1055(process_selectors)
    52/14    0.001    0.000    0.014    0.001 css_parser.py:862(parse_selectors)
      133    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     1245    0.004    0.000    0.013    0.000 element.py:1068(__init__)
        1    0.000    0.000    0.013    0.013 parser.py:5(<module>)
        1    0.000    0.000    0.012    0.012 feedparser.py:5(<module>)
      130    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
      130    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
    12856    0.012    0.000    0.012    0.000 {method 'match' of 're.Pattern' objects}
       20    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
       20    0.011    0.001    0.011    0.001 {built-in method _imp.create_dynamic}
     1244    0.001    0.000    0.011    0.000 _htmlparser.py:171(handle_endtag)
        1    0.000    0.000    0.011    0.011 _policybase.py:1(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:19(<module>)
      220    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:565(parse_pseudo_class)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:712(parse_pseudo_open)
     1244    0.001    0.000    0.010    0.000 __init__.py:716(handle_endtag)
        1    0.000    0.000    0.010    0.010 universaldetector.py:28(<module>)
     3906    0.010    0.000    0.010    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.010    0.010 client.py:1376(__init__)
        1    0.000    0.000    0.010    0.010 ssl.py:723(create_default_context)
      105    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
     2737    0.002    0.000    0.008    0.000 __init__.py:541(endData)
        1    0.000    0.000    0.008    0.008 ssl.py:569(load_default_certs)
        1    0.008    0.008    0.008    0.008 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
      105    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.008    0.008 utils.py:5(<module>)
        1    0.000    0.000    0.007    0.007 re.py:198(search)
        1    0.000    0.000    0.007    0.007 __init__.py:299(loads)
        1    0.000    0.000    0.007    0.007 decoder.py:332(decode)
        1    0.007    0.007    0.007    0.007 decoder.py:343(raw_decode)
     1196    0.004    0.000    0.007    0.000 __init__.py:284(_replace_cdata_list_attribute_values)
      161    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1041(get_data)
      543    0.004    0.000    0.006    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.005    0.005 ssl.py:4(<module>)
        2    0.000    0.000    0.005    0.003 element.py:1742(find)
        2    0.000    0.000    0.005    0.003 element.py:1767(find_all)
        2    0.001    0.000    0.005    0.003 element.py:738(_find_all)
        1    0.000    0.000    0.005    0.005 request.py:567(build_opener)
        1    0.000    0.000    0.005    0.005 request.py:793(__init__)
        1    0.000    0.000    0.005    0.005 request.py:2649(getproxies)
     2022    0.000    0.000    0.005    0.000 {built-in method builtins.next}
     7723    0.002    0.000    0.005    0.000 sre_parse.py:254(get)
     1244    0.001    0.000    0.005    0.000 parser.py:351(check_for_whole_start_tag)
    11695    0.003    0.000    0.005    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.005    0.005 request.py:2626(getproxies_macosx_sysconf)
        1    0.005    0.005    0.005    0.005 {built-in method _scproxy._get_proxies}
        1    0.000    0.000    0.005    0.005 css_match.py:1(<module>)
        1    0.000    0.000    0.005    0.005 mbcsgroupprober.py:30(<module>)
       77    0.000    0.000    0.005    0.000 css_parser.py:458(parse_attribute_selector)
     1244    0.002    0.000    0.005    0.000 __init__.py:644(_popToTag)
      325    0.001    0.000    0.004    0.000 css_parser.py:1014(selector_iter)
        1    0.000    0.000    0.004    0.004 _htmlparser.py:2(<module>)
        9    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
        9    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
    11676    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.004    0.004 __init__.py:17(<module>)
     1696    0.001    0.000    0.004    0.000 element.py:2043(search)
        1    0.000    0.000    0.004    0.004 parser.py:1(<module>)
     5076    0.002    0.000    0.004    0.000 _markupbase.py:48(updatepos)
        1    0.000    0.000    0.004    0.004 socket.py:4(<module>)
 1755/263    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
    36554    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
       10    0.000    0.000    0.003    0.000 enum.py:504(_convert_)
        1    0.000    0.000    0.003    0.003 tempfile.py:1(<module>)
25108/22783    0.003    0.000    0.003    0.000 {built-in method builtins.len}
      161    0.003    0.000    0.003    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.003    0.003 sbcsgroupprober.py:29(<module>)
      135    0.001    0.000    0.003    0.000 sre_compile.py:536(_compile_info)
      472    0.002    0.000    0.003    0.000 css_types.py:37(__init__)
       16    0.001    0.000    0.003    0.000 enum.py:179(__new__)
    25340    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
       52    0.000    0.000    0.003    0.000 css_parser.py:1012(<listcomp>)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
      366    0.000    0.000    0.003    0.000 enum.py:334(__call__)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:386(freeze)
      104    0.000    0.000    0.003    0.000 client.py:540(_get_chunk_left)
        1    0.000    0.000    0.003    0.003 sjisprober.py:28(<module>)
     1245    0.002    0.000    0.003    0.000 __init__.py:527(pushTag)
      128    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      823    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x109b46d40}
      502    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      123    0.000    0.000    0.002    0.000 _markupbase.py:168(parse_comment)
      502    0.002    0.000    0.002    0.000 {built-in method posix.stat}
      123    0.000    0.000    0.002    0.000 sre_parse.py:96(closegroup)
     2263    0.002    0.000    0.002    0.000 element.py:158(setup)
       10    0.000    0.000    0.002    0.000 enum.py:451(_create_)
     5734    0.001    0.000    0.002    0.000 sre_parse.py:249(match)
     1136    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     2251    0.001    0.000    0.002    0.000 css_parser.py:308(match)
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
      509    0.001    0.000    0.002    0.000 __init__.py:576(object_was_parsed)
     6105    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
      123    0.000    0.000    0.002    0.000 _htmlparser.py:251(handle_comment)
       75    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
     2737    0.002    0.000    0.002    0.000 __init__.py:478(string_container)
        1    0.000    0.000    0.002    0.002 client.py:406(_close_conn)
        1    0.000    0.000    0.002    0.002 {method 'close' of '_io.BufferedReader' objects}
      212    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
        1    0.002    0.002    0.002    0.002 socket.py:767(close)
      792    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     1244    0.002    0.000    0.002    0.000 __init__.py:513(popTag)
     1218    0.001    0.000    0.002    0.000 element.py:1980(search_tag)
