('Total Revenue', '94,399,000', '85,965,000', '70,697,000', '55,838,000', '40,653,000')
         410553 function calls (398801 primitive calls) in 0.974 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    174/1    0.000    0.000    0.974    0.974 {built-in method builtins.exec}
        1    0.000    0.000    0.974    0.974 runpy.py:200(run_module)
        1    0.000    0.000    0.971    0.971 runpy.py:64(_run_code)
        1    0.001    0.001    0.971    0.971 financial.py:3(<module>)
        1    0.000    0.000    0.788    0.788 financial.py:76(main)
        1    0.000    0.000    0.682    0.682 api.py:64(get)
        1    0.000    0.000    0.682    0.682 api.py:16(request)
        1    0.000    0.000    0.680    0.680 sessions.py:470(request)
        1    0.000    0.000    0.652    0.652 sessions.py:626(send)
      137    0.000    0.000    0.545    0.004 socket.py:690(readinto)
      137    0.000    0.000    0.544    0.004 ssl.py:1230(recv_into)
      137    0.000    0.000    0.544    0.004 ssl.py:1090(read)
      137    0.544    0.004    0.544    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.505    0.505 adapters.py:394(send)
        1    0.000    0.000    0.504    0.504 connectionpool.py:518(urlopen)
        1    0.000    0.000    0.503    0.503 connectionpool.py:357(_make_request)
       49    0.000    0.000    0.413    0.008 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.403    0.403 client.py:1301(getresponse)
        1    0.000    0.000    0.403    0.403 client.py:300(begin)
        1    0.000    0.000    0.402    0.402 client.py:267(_read_status)
       13    0.000    0.000    0.263    0.020 __init__.py:1(<module>)
    214/3    0.001    0.000    0.184    0.061 <frozen importlib._bootstrap>:1002(_find_and_load)
    213/3    0.001    0.000    0.183    0.061 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    250/4    0.000    0.000    0.183    0.046 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    199/3    0.001    0.000    0.183    0.061 <frozen importlib._bootstrap>:659(_load_unlocked)
    171/3    0.000    0.000    0.183    0.061 <frozen importlib._bootstrap_external>:849(exec_module)
    41/16    0.000    0.000    0.151    0.009 {built-in method builtins.__import__}
        3    0.000    0.000    0.147    0.049 models.py:818(content)
       11    0.000    0.000    0.147    0.013 {method 'join' of 'bytes' objects}
       31    0.000    0.000    0.146    0.005 models.py:749(generate)
       31    0.000    0.000    0.146    0.005 response.py:555(stream)
       31    0.000    0.000    0.146    0.005 response.py:725(read_chunked)
      298    0.002    0.000    0.134    0.000 {method 'read' of '_io.BufferedReader' objects}
       31    0.000    0.000    0.132    0.004 response.py:703(_handle_chunk)
       58    0.000    0.000    0.132    0.002 client.py:602(_safe_read)
    84/47    0.000    0.000    0.127    0.003 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.100    0.100 connectionpool.py:1002(_validate_conn)
        1    0.000    0.000    0.100    0.100 connection.py:351(connect)
        1    0.000    0.000    0.090    0.090 __init__.py:2(<module>)
        1    0.000    0.000    0.090    0.090 __init__.py:8(<module>)
      317    0.002    0.000    0.086    0.000 re.py:289(_compile)
      314    0.000    0.000    0.086    0.000 re.py:250(compile)
        1    0.000    0.000    0.085    0.085 element.py:2(<module>)
        1    0.000    0.000    0.084    0.084 __init__.py:115(__init__)
        1    0.000    0.000    0.084    0.084 __init__.py:427(_feed)
        1    0.000    0.000    0.084    0.084 _htmlparser.py:369(feed)
        1    0.000    0.000    0.084    0.084 parser.py:103(feed)
        2    0.007    0.004    0.084    0.042 parser.py:133(goahead)
      172    0.001    0.000    0.083    0.000 sre_compile.py:759(compile)
