Thu Jul  8 22:17:29 2021    tmp

         135858 function calls (135689 primitive calls) in 0.733 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1    0.000    0.000    0.733    0.733 {built-in method builtins.exec}
        1    0.001    0.001    0.733    0.733 <string>:1(<module>)
        1    0.000    0.000    0.732    0.732 financial.py:76(main)
        1    0.000    0.000    0.633    0.633 api.py:64(get)
        1    0.000    0.000    0.633    0.633 api.py:16(request)
        1    0.000    0.000    0.632    0.632 sessions.py:470(request)
        1    0.000    0.000    0.625    0.625 sessions.py:626(send)
      139    0.000    0.000    0.520    0.004 socket.py:690(readinto)
      139    0.000    0.000    0.519    0.004 ssl.py:1230(recv_into)
      139    0.000    0.000    0.519    0.004 ssl.py:1090(read)
      139    0.519    0.004    0.519    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.481    0.481 adapters.py:394(send)
        1    0.000    0.000    0.480    0.480 connectionpool.py:518(urlopen)
        1    0.000    0.000    0.480    0.480 connectionpool.py:357(_make_request)
       48    0.000    0.000    0.390    0.008 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.381    0.381 client.py:1301(getresponse)
        1    0.000    0.000    0.381    0.381 client.py:300(begin)
        1    0.000    0.000    0.380    0.380 client.py:267(_read_status)
        3    0.000    0.000    0.144    0.048 models.py:818(content)
       11    0.000    0.000    0.144    0.013 {method 'join' of 'bytes' objects}
       34    0.000    0.000    0.143    0.004 models.py:749(generate)
       34    0.000    0.000    0.143    0.004 response.py:555(stream)
       34    0.000    0.000    0.143    0.004 response.py:725(read_chunked)
       34    0.000    0.000    0.130    0.004 response.py:703(_handle_chunk)
       61    0.000    0.000    0.130    0.002 client.py:602(_safe_read)
       65    0.000    0.000    0.130    0.002 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.099    0.099 connectionpool.py:1002(_validate_conn)
        1    0.000    0.000    0.099    0.099 connection.py:351(connect)
        1    0.000    0.000    0.078    0.078 __init__.py:115(__init__)
        1    0.000    0.000    0.078    0.078 __init__.py:427(_feed)
        1    0.000    0.000    0.078    0.078 _htmlparser.py:369(feed)
        1    0.000    0.000    0.078    0.078 parser.py:103(feed)
        2    0.007    0.003    0.078    0.039 parser.py:133(goahead)
        1    0.000    0.000    0.052    0.052 ssl_.py:355(ssl_wrap_socket)
     1229    0.010    0.000    0.047    0.000 parser.py:300(parse_starttag)
        1    0.000    0.000    0.046    0.046 ssl_.py:481(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.046    0.046 ssl.py:494(wrap_socket)
        1    0.000    0.000    0.046    0.046 ssl.py:983(_create)
        1    0.000    0.000    0.046    0.046 ssl.py:1302(do_handshake)
        1    0.046    0.046    0.046    0.046 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.045    0.045 connection.py:156(_new_conn)
        1    0.000    0.000    0.045    0.045 connection.py:38(create_connection)
        1    0.044    0.044    0.044    0.044 {method 'connect' of '_socket.socket' objects}
     1229    0.003    0.000    0.024    0.000 _htmlparser.py:119(handle_starttag)
     1229    0.003    0.000    0.020    0.000 __init__.py:678(handle_starttag)
     1153    0.003    0.000    0.014    0.000 parser.py:385(parse_endtag)
     1230    0.004    0.000    0.012    0.000 element.py:1068(__init__)
     1229    0.001    0.000    0.010    0.000 _htmlparser.py:171(handle_endtag)
       35    0.000    0.000    0.010    0.000 response.py:689(_update_chunk_length)
     1229    0.001    0.000    0.009    0.000 __init__.py:716(handle_endtag)
    10229    0.009    0.000    0.009    0.000 {method 'match' of 're.Pattern' objects}
     3847    0.009    0.000    0.009    0.000 {method 'search' of 're.Pattern' objects}
     2709    0.002    0.000    0.008    0.000 __init__.py:541(endData)
        1    0.000    0.000    0.007    0.007 __init__.py:299(loads)
        1    0.000    0.000    0.007    0.007 decoder.py:332(decode)
        1    0.007    0.007    0.007    0.007 decoder.py:343(raw_decode)
        1    0.000    0.000    0.007    0.007 re.py:198(search)
     1181    0.004    0.000    0.007    0.000 __init__.py:284(_replace_cdata_list_attribute_values)
        1    0.006    0.006    0.006    0.006 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.005    0.005 sessions.py:701(merge_environment_settings)
        1    0.000    0.000    0.005    0.005 utils.py:770(get_environ_proxies)
        2    0.000    0.000    0.005    0.003 element.py:1742(find)
        2    0.000    0.000    0.005    0.003 element.py:1767(find_all)
        2    0.001    0.000    0.005    0.003 element.py:738(_find_all)
        1    0.000    0.000    0.005    0.005 utils.py:709(should_bypass_proxies)
        1    0.000    0.000    0.005    0.005 request.py:2636(proxy_bypass)
        1    0.000    0.000    0.005    0.005 request.py:2622(proxy_bypass_macosx_sysconf)
     1229    0.001    0.000    0.004    0.000 parser.py:351(check_for_whole_start_tag)
     1229    0.002    0.000    0.004    0.000 __init__.py:644(_popToTag)
     1676    0.001    0.000    0.004    0.000 element.py:2043(search)
        1    0.004    0.004    0.004    0.004 {built-in method _scproxy._get_proxy_settings}
     5018    0.002    0.000    0.003    0.000 _markupbase.py:48(updatepos)
       34    0.000    0.000    0.003    0.000 response.py:392(_decode)
       35    0.000    0.000    0.003    0.000 response.py:82(decompress)
       75    0.000    0.000    0.003    0.000 _htmlparser.py:104(handle_startendtag)
       34    0.003    0.000    0.003    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     1230    0.002    0.000    0.003    0.000 __init__.py:527(pushTag)
      124    0.000    0.000    0.002    0.000 _markupbase.py:168(parse_comment)
     2238    0.002    0.000    0.002    0.000 element.py:158(setup)
      534    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x10eae8d40}
      124    0.000    0.000    0.002    0.000 _htmlparser.py:251(handle_comment)
      504    0.001    0.000    0.002    0.000 __init__.py:576(object_was_parsed)
      781    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     5254    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     2709    0.001    0.000    0.002    0.000 __init__.py:478(string_container)
     1229    0.002    0.000    0.002    0.000 __init__.py:513(popTag)
     1203    0.001    0.000    0.002    0.000 element.py:1980(search_tag)
      504    0.001    0.000    0.002    0.000 element.py:890(__new__)
       85    0.000    0.000    0.002    0.000 re.py:289(_compile)
        1    0.000    0.000    0.002    0.002 ssl_.py:250(create_urllib3_context)
        1    0.000    0.000    0.001    0.001 ssl.py:482(__new__)
        1    0.000    0.000    0.001    0.001 request.py:2554(_proxy_bypass_macosx_sysconf)
     2895    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
